전체팀 3번 선수 등장 구간
구간 82: 1454.0s ~ 1461.0s
구간 83: 1525.5s ~ 1532.5s
구간 84: 1536.5s ~ 1542.5s
구간 85: 1539.5s ~ 1546.0s
구간 86: 1545.0s ~ 1553.0s
구간 87: 1573.5s ~ 1582.0s
구간 88: 1580.0s ~ 1586.0s
구간 89: 1584.0s ~ 1595.5s
구간 90: 1592.5s ~ 1600.0s
구간 91: 1596.5s ~ 1603.0s
구간 92: 1599.5s ~ 1606.0s
구간 93: 1608.5s ~ 1614.5s
구간 94: 1611.5s ~ 1645.0s
구간 95: 1643.0s ~ 1652.5s
구간 96: 1650.0s ~ 1659.0s
구간 97: 1656.5s ~ 1663.0s
구간 98: 1661.5s ~ 1667.5s
구간 99: 1673.5s ~ 1680.5s
구간 100: 1802.5s ~ 1808.5s
구간 101: 1808.5s ~ 1814.5s
구간 102: 1825.0s ~ 1831.0s
구간 103: 1831.5s ~ 1838.0s
구간 104: 1835.0s ~ 1849.5s
구간 105: 1855.5s ~ 1861.5s
구간 106: 1877.0s ~ 1884.5s
구간 107: 1881.0s ~ 1887.0s
구간 108: 1889.0s ~ 1895.5s
구간 109: 1901.0s ~ 1907.0s
구간 110: 1924.0s ~ 1930.0s
구간 111: 2034.0s ~ 2040.5s
구간 112: 2038.5s ~ 2046.0s
구간 113: 2051.5s ~ 2059.5s
구간 114: 2066.5s ~ 2072.5s
구간 115: 2074.0s ~ 2082.0s
구간 116: 2092.5s ~ 2109.5s
구간 117: 2117.0s ~ 2123.0s
구간 118: 2120.0s ~ 2126.5s
구간 119: 2123.0s ~ 2139.5s
구간 120: 2136.5s ~ 2146.0s
구간 121: 2143.0s ~ 2149.0s
구간 122: 2191.5s ~ 2197.5s
구간 123: 2237.5s ~ 2247.0s
구간 124: 2256.0s ~ 2263.0s
구간 125: 2263.5s ~ 2270.0s
구간 126: 2316.5s ~ 2323.0s
구간 127: 2320.5s ~ 2326.5s
구간 128: 2369.0s ~ 2376.5s
구간 129: 2375.5s ~ 2381.5s
구간 130: 2395.0s ~ 2415.0s
구간 131: 2412.5s ~ 2422.5s
구간 132: 2425.5s ~ 2434.0s
구간 133: 2439.5s ~ 2445.5s
구간 134: 2447.5s ~ 2457.0s
구간 135: 2453.5s ~ 2462.5s
구간 136: 2490.5s ~ 2512.5s
구간 137: 2519.0s ~ 2539.0s
구간 138: 2536.5s ~ 2542.5s
구간 139: 2540.5s ~ 2547.5s
구간 140: 2557.0s ~ 2566.5s
구간 141: 2571.5s ~ 2577.5s
구간 142: 2583.0s ~ 2590.5s
구간 143: 2590.0s ~ 2596.0s
구간 144: 2592.5s ~ 2609.5s
구간 145: 2715.5s ~ 2721.5s
구간 146: 2836.5s ~ 2851.0s
